nama_bahan;satuan;stok;kebutuhan;updated_at
Plastik Putih Ukuran 1kg;pak;0;0;01/01/2022
Plastik Putih Ukuran 1/2 kg;pak;0;0;01/01/2022
Plastik Zip Kecil;pak;0;0;01/01/2022
Plastik Kotak;pak;0;0;01/01/2022
Curacron;pak;0;0;01/01/2022
Fungisida Amistartop;pak;0;0;01/01/2022
Furadan;g;0;0;01/01/2022
Kacang Kedelai;pak;0;0;01/01/2022
Kacang Hijau;pak;0;0;01/01/2022
AMP Samsons;pak;0;0;01/01/2022
Plastik 6 x 10 cm;pak;0;0;01/01/2022
Praktikum BPO dan BTLJB;pak;0;0;01/01/2022
Glukosa;g;800;0;01/07/2022
HCl 37%;ml;420;0;01/07/2022
Potasium Hydrogen Phospate;g;400;0;01/07/2022
Mangan Sulfat (MnSO4);g;410;0;01/07/2022
Metanol Teknis (CH?OH);ml;0;0;01/07/2022
Cobalt Chloride;g;0;0;01/07/2022
WPM;ml;0;0;01/07/2022
Alkohol 70%;ml;10000;0;01/07/2022
MS (Media Kultur Jaringan);ml;0;10000;01/07/2022
2,4 Dichlorophenoxyacetic Acid;g;0;100;01/07/2022
Kalium Nitrat (KNO3);g;2000;0;01/07/2022
