rencana_id;product_code;stok;kebutuhan;created_at;updated_at
1;706-BKP;0;0;01/01/2023;01/01/2023
1;706-SAW;0;0;01/01/2023;01/01/2023
1;706-BLC-3;0;0;01/01/2023;01/01/2023
1;706-BTM-3;0;0;01/01/2023;01/01/2023
1;706-BKN-2;0;0;01/01/2023;01/01/2023
1;706-BKAY;0;0;01/01/2023;01/01/2023
1;706-BBS-2;0;0;01/01/2023;01/01/2023
1;706-BPC-2;0;0;01/01/2023;01/01/2023
1;706-BKB-1;0;0;01/01/2023;01/01/2023
1;706-BSM-1;0;0;01/01/2023;01/01/2023
1;706-BML-1;0;0;01/01/2023;01/01/2023
1;706-BRS-1;0;0;01/01/2023;01/01/2023
1;706-TRS-1;0;0;01/01/2023;01/01/2023
1;706-PLS-3;0;0;01/01/2023;01/01/2023
1;706-PLS-4;0;0;01/01/2023;01/01/2023
1;706-PLS-5;0;0;01/01/2023;01/01/2023
1;706-PLS-6;0;0;01/01/2023;01/01/2023
1;706-CUR;0;0;01/01/2023;01/01/2023
1;706-FUA;0;0;01/01/2023;01/01/2023
1;706-FUR;0;0;01/01/2023;01/01/2023
1;706-BKK-1;0;0;01/01/2023;01/01/2023
1;706-BKH-1;0;0;01/01/2023;01/01/2023
1;706-AMP;0;0;01/01/2023;01/01/2023
1;706-PLS-7;0;0;01/01/2023;01/01/2023
1;706-PBB;0;0;01/01/2023;01/01/2023
1;706-GLU;800;0;01/07/2023;01/07/2023
1;706-HCL;420;0;01/07/2023;01/07/2023
1;706-PHP;400;0;01/07/2023;01/07/2023
1;706-MNS;410;0;01/07/2023;01/07/2023
1;706-MTL-1;0;0;01/07/2023;01/07/2023
1;706-CCH;0;0;01/07/2023;01/07/2023
1;706-WPM;0;0;01/07/2023;01/07/2023
1;706-ALK-1;0;0;01/07/2023;01/07/2023
1;706-MKJ;0;0;01/07/2023;01/07/2023
1;706-DCA;1;0;01/07/2023;01/07/2023
1;706-KNO;2000;0;01/07/2023;01/07/2023
1;706-CNO;1000;0;01/07/2023;01/07/2023
1;706-FEB;0;0;01/07/2023;01/07/2023
1;706-MNP;940;0;01/07/2023;01/07/2023
